word,value
18,1.4731448301087028e-05
vorbei,1.3744243959650903e-05
4-year-old,0.00731864345338648
eigentlich,2.7137542200120943e-05
uthoff,0.00011569343296172426
2015,0.0010080512735299802
leben,0.002822815755237242
suzanne,0.012473701801848211
[komplett],0.00339249042797246
ungeimpfte,6.295936369006482e-05
lindner,5.478984094970501e-05
anja,2.6571798173682545e-06
"""angela",0.0001855828897656755
2015/2016,1.464533913119528e-07
(1/15),3.090098754186226e-05
25,8.809069783669994e-05
everything,0.02950474565874145
"""verarmung",0.00011403566193506813
liebe,0.002254839467223771
spielfeld,0.00021569262217947737
sdp,0.009107383137323165
enrique,0.06483286463027321
│,2.844314706266861e-06
test,0.003990405382702381
lionel,0.031682390967257106
zeit-journalist,3.612788195678746e-05
"europa,",1.937252915076442e-05
"welt,",7.874920895336461e-05
kommission,1.4713141627173034e-07
new,0.012196282804368025
backofen,4.203551343132934e-05
unterschied?!,9.977069480630806e-05
182,4.050995727182983e-05
sind,0.0010075352588675363
"""papst",3.997702965344467e-05
betrugssystem-mai,6.875986722096184e-05
staiger,3.612788195678746e-05
gezieltes,7.79728703744193e-08
haridwar.wmv,2.373087359221457e-08
hd,0.027741297209837746
besser,0.00041541233235651496
ariana,0.3904909933883223
gleich,0.00021111527567601907
[official],2.965681174067044e-06
vision,7.79728703744193e-07
cesaro,0.0012216307932542574
ladung?,5.842880090883116e-05
begründet,6.756383119191422e-05
land,7.872005388009418e-05
november,0.01805501545782322
ellie,0.5106186234778219
broder:,7.298735284517491e-05
weißt,0.014108191485460463
bei,0.0004845776585034238
friedensvertrag,1.5585759750406753e-05
groß,4.680423247968486e-05
eingestellt,1.8760950637045062e-05
03.07.2015,1.937252915076442e-05
loesung,2.3750536316048122e-05
knie:,2.9966669147288785e-05
ewiges,3.969971744489565e-05
regelungstechnik,4.203551343132934e-05
"übertragung,",5.879290031223172e-05
(skrillex,0.02785285243046163
aus,0.0006036548880310779
riester-rente,4.2553524500599397e-05
haag,4.0817102578609065e-05
herles,3.956275640302058e-06
engerer),0.0044489353563260305
"internet,",9.565372725053872e-05
2,0.008973637425412356
campus,0.006120233658954684
unaufhaltbar,1.1335221277561235e-05
#18:,0.0001084772133148117
tun,2.6571798173682545e-06
weizenwampe?,4.122120545463649e-05
warnung,0.00023665783196075927
racist,0.06962620818911794
realität!,7.632526972215983e-06
be,0.0030668221573170625
(explainity®,0.00011882251815109769
real,0.01604322929299331
'i,0.016505849113174337
fernsehen:,9.853058715487491e-06
götz,9.399460017396303e-06
faces,0.005198715697596849
(zdf),3.5064060794896476e-05
erkenne,5.2165884355365854e-05
zdf:,3.997702965344467e-05
(euro-krise,7.399015176068593e-05
imagine,0.12799642028314975
